Gerencia
,Estado,Fecha Autorización,Fecha de Cierre  / Cancelacion,Rango Ponderación,Puntaje
,Grupo Principal de Desarrollo,Fecha Asignacion
CONTADURÍA,Ingresado,03/10/2019,,Bajo,1,REGÍMENES INFORMATIVOS,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,BIP CANAL - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,BIP CANAL - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,BIP CANAL - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,BIP CANAL - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,INTERNET / MOBILE - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,INTERNET / MOBILE - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,INTERNET / MOBILE - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,BIP SUCURSALES - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,INTERNET / MOBILE - PE,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,6,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
PROTECCION DE ACTIVOS DE INFORMACION,Ingresado,03/10/2019,,Alto,7,,
COMERCIO EXTERIOR,Ingresado,02/10/2019,,Medio Bajo,3,,
PROCESOS Y ORGANIZACIÓN,Asignado,02/10/2019,,Bajo,1,PRÉSTAMOS,02/10/2019
BANCA INSTITUCIONAL,Ingresado,02/10/2019,,Medio Bajo,2,,
SOPORTE DEL NEGOCIO,Ingresado,02/10/2019,,Medio Alto,5,,
MARKETING,Validación,02/10/2019,,Medio Bajo,2,TARJETAS,
MARKETING,Ingresado,02/10/2019,,Medio Bajo,2,,
PRODUCTOS EMPRESAS,Ingresado,01/10/2019,,Medio Alto,3,PROCAMPO - PACTAR,
PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,2,GARANTÍAS,02/10/2019
PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,2,GARANTÍAS,02/10/2019
PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,2,GARANTÍAS,02/10/2019
PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,2,GARANTÍAS,02/10/2019
PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,2,GARANTÍAS,02/10/2019
PRODUCTOS EMPRESAS,Asignado,01/10/2019,,Medio Bajo,2,GARANTÍAS,02/10/2019
MARKETING,Validación,01/10/2019,,Medio Bajo,2,TARJETAS,
BANCA INSTITUCIONAL,Asignado,01/10/2019,,Medio Bajo,2,PAGOS Y SERVICIOS,02/10/2019
CONTADURÍA,Ingresado,01/10/2019,,Medio Alto,3,,
PRODUCTOS EMPRESAS,Validación,01/10/2019,,Medio Bajo,2,SUCURSALES BACK END,
GERENCIA GENERAL,Ingresado,01/10/2019,,Medio Bajo,2,,
PROCESOS Y ORGANIZACIÓN,Ingresado,30/09/2019,,Bajo,1,BIP CANAL,
CONTADURÍA,Ingresado,30/09/2019,,Muy Bajo,0,CONTABILIDAD,
PRODUCTOS,Validación,30/09/2019,,Medio Alto,4,TARJETAS,
PRODUCTOS,Cancelado,27/09/2019,30/09/2019,Medio Bajo,2,BIP CANAL,
CONTADURÍA,Validación,27/09/2019,,Bajo,1,A2180,
CONTADURÍA,Validación,27/09/2019,,Bajo,1,PRÉSTAMOS,
CONTADURÍA,Ingresado,27/09/2019,,Bajo,1,GECON,
CONTADURÍA,Asignado,27/09/2019,,Muy Bajo,0,A2180,01/10/2019
CONTADURÍA,Ingresado,27/09/2019,,Bajo,1,GECON,
PROCESOS Y ORGANIZACIÓN,Asignado,27/09/2019,,Medio Bajo,2,ATM / IB / BE,01/10/2019
PROCESOS Y ORGANIZACIÓN,Ingresado,27/09/2019,,Medio Bajo,2,TAS,
PRODUCTOS,Desarrollo,26/09/2019,,Medio Bajo,3,PRÉSTAMOS,26/09/2019
ASUNTOS JUDICIALES,Prueba,26/09/2019,,Bajo,1,JUREX,30/09/2019
CONTADURÍA,Asignado,26/09/2019,,Bajo,1,CONTABILIDAD,27/09/2019
PROCESOS Y ORGANIZACIÓN,Validación,26/09/2019,,Bajo,1,BIP CANAL,
CONTADURÍA,Validación,26/09/2019,,Bajo,1,PRÉSTAMOS,
SOPORTE DEL NEGOCIO,Asignado,26/09/2019,,Medio Bajo,2,PAGOS Y SERVICIOS,02/10/2019
